商品名称,合约代码,名次,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,
铝                  ,al1809                        ,2,申万期货  ,3021,1102,建信期货  ,4092,403,广发期货  ,4158,66,
铝                  ,al1809                        ,3,中辉期货  ,2796,1388,五矿经易  ,3752,3265,格林大华  ,3485,1,
铝                  ,al1809                        ,4,国海良时  ,2738,2715,先融期货  ,3404,2,国海良时  ,2740,2725,
铝                  ,al1809                        ,5,鲁证期货  ,1782,631,晟鑫期货  ,3400,1000,中信期货  ,2437,44,
铝                  ,al1809                        ,6,海通期货  ,1708,811,中信期货  ,2208,291,国信期货  ,2407,300,
铝                  ,al1809                        ,7,中信期货  ,1499,-866,中粮期货  ,1811,52,国投安信  ,2304,9,
铝                  ,al1809                        ,8,华泰期货  ,1321,228,华泰期货  ,1573,97,华泰期货  ,2142,800,
铝                  ,al1809                        ,9,东证期货  ,1316,-477,英大期货  ,1499,0,五矿经易  ,1673,44,
铝                  ,al1809                        ,10,晟鑫期货  ,1000,1000,广发期货  ,1453,10,中粮期货  ,1558,103,
铝                  ,al1809                        ,11,国投安信  ,967,404,上海中期  ,775,-555,国贸期货  ,1421,-161,
铝                  ,al1809                        ,12,中银国际  ,900,446,格林大华  ,647,0,申万期货  ,1195,521,
铝                  ,al1809                        ,13,迈科期货  ,804,754,金瑞期货  ,591,392,中辉期货  ,1068,393,
铝                  ,al1809                        ,14,上海中期  ,647,517,信达期货  ,559,160,兴证期货  ,1054,-46,
铝                  ,al1809                        ,15,同信久恒  ,615,-52,永安期货  ,514,189,华信期货  ,1009,350,
铝                  ,al1809                        ,16,铜冠金源  ,569,496,广州期货  ,482,211,中金期货  ,933,196,
铝                  ,al1809                        ,17,德盛期货  ,539,532,平安期货  ,435,430,永安期货  ,787,0,
铝                  ,al1809                        ,18,金瑞期货  ,533,480,首创期货  ,333,-68,一德期货  ,753,0,
铝                  ,al1809                        ,19,建信期货  ,511,507,新世纪    ,332,50,中银国际  ,734,1,
铝                  ,al1809                        ,20,宏源期货  ,493,464,国投安信  ,303,40,先融期货  ,643,149,
锌                  ,znall                         ,-1,期货公司  ,561789,50553,期货公司  ,225502,-3259,期货公司  ,225512,-3490,
锌                  ,znall                         ,0,非期货公司,2169,769,非期货公司,10847,929,非期货公司,10837,1160,
